Korean,English
내가 ,I
그 35563,That 35563
난 35163,I am 35163
내 33774,my 33774
안 32915,No. 32915
수 32814,number 32814
이 30671,This 30671
네 29504,yes 29504
거야 27633,Yes 27633
좀 25742,some 25742
그래 23453,yes 23453
있어 21329,There are 21329
왜 20645,why 20645
더 18760,more 18760
그리고 18551,and 18551
우리 18186,us 18186
다 16549,16549
무슨 16460,what 16460
한 16214,one 16214
하지만 16213,But 16213
잘 15904,well 15904
어떻게 15731,how 15731
할 15599,do 15599
그냥 15379,Just 15379
정말 14958,really 14958
그럼 14659,Then 14659
것 14409,thing 14409
게 14358,crab 14358
있어요 13941,There are 13941
있는 13759,There are 13759
해 13611,year 13611
여기 13433,13433 here
넌 13292,you are 13292
제가 13261,I am 13261
날 12972,day 12972
우리가 12700,we have 12700
건 12616,Case 12616
전 12614,ex 12614
이제 12601,Now 12601
지금 12460,Now 12460
그게 12424,That's 12424
걸 12262,Girl 12262
거 11944,huge 11944
아니 11876,no 11876
네가 11838,you are 11838
없어 11729,None 11729
돼 11157,Okay 11157
저 11122,That 11122
우린 11000,We are 11000
제 10893,No. 10893
못 10751,nail 10751
좋아 10712,Okay 10712
당신이 10649,you 10649
다른 10052,another 10052
나 10042,me 10042
그런 9723,9723 like that
그건 9628,That's 9628
너무 9580,too 9580
그래서 9537,So 9537
그렇게 9343,like that 9343
다시 9331,9331 again
이건 9257,This is 9257
이런 9239,Oh my 9239
나도 8962,Me too 8962
모든 8945,All 8945
당신 8885,you 8885
거예요 8824,Yes 8824
당신은 8666,you are 8666
아 8433,Ah 8433
좋은 8356,good 8356
오 8097,Oh 8097
때 8062,When 8062
너 7660,you 7660
하는 7645,7645 to do
하고 7509,And 7509
아냐 7489,No 7489
나는 7474,I am 7474
아니야 7427,No 7427
알아 7424,I know 7424
같이 7389,together 7389
응 7315,Yes 7315
이게 7214,This is 7214
없어요 7085,None 7085
괜찮아 6795,It's okay 6795
오늘 6761,Today 6761
말이야 6569,I mean 6569
줄 6489,line 6489
또 6475,Also 6475
널 6471,null 6471
누가 6365,Luke 6365
어떤 6314,some 6314
아주 6245,Very 6245
말 6216,horse 6216
아직 6197,Still 6197
안돼 6051,No 6051
진짜 6020,real 6020
모두 5982,All 5982
마 5950,Ma 5950
같은 5923,Same 5923
여기서 5892,5892 here
어서 5851,Come on 5851
그는 5842,He is 5842
위해 5837,5837
해요 5828,Do it 5828
일이 5817,work 5817
하지 5768,not 5768
엄마 5728,mom 5728
바로 5628,Right 5628
가 5623,5623
근데 5547,But 5547
알고 5534,know 5534
이렇게 5516,Like this 5516
빨리 5487,quickly 5487
있습니다 5474,There are 5474
이거 5373,This is 5373
전에 5366,5366 before
어 5306,uh 5306
아뇨 5297,No 5297
계속 5257,Continued 5257
닥터 5237,Doctor 5237
얼마나 5234,how many 5234
될 5234,be 5234
알았어 5217,Okay 5217
않아 5207,No 5207
제발 5182,please 5182
있지 5135,ITZY 5135
겁니다 5062,5062
어디 5021,where 5021
