Korean,English
내가,I
그,That
난,I am
내,my
안,No.
수,number
이,This
네,yes
거야,Yes
좀,some
그래,yes
있어,There are
왜,why
더,more
그리고,and
우리,us
다,all
무슨,what
한,one
하지만,But
잘,well
어떻게,how
할,do
그냥,Just
정말,really
그럼,Then
것,thing
게,crab
있어요,There are
있는,There are
해,year
여기,here
넌,you are
제가,I am
날,day
우리가,we have
건,Case
전,ex
이제,Now
지금,Now
그게,That's
걸,Girl
거,huge
아니,no
네가,you are
없어,None
돼,Okay
저,That
우린,We are
제,No.
못,nail
좋아,Okay
당신이,you
다른,another
나,me
그런,like that
그건,That's
너무,too
그래서,So
그렇게,like that
다시,again
이건,This is
이런,Oh my
나도,Me too
모든,All
당신,you
거예요,Yes
당신은,you are
아,Ah
좋은,good
오,Oh
때,When
너,you
하는,to do
하고,And
아냐,No
나는,I am
아니야,No
알아,I know
같이,together
응,Yes
이게,This is
없어요,None
괜찮아,It's okay
오늘,Today
말이야,I mean
줄,line
또,Also
널,null
누가,Luke
어떤,some
아주,Very
말,horse
아직,Still
안돼,No
진짜,real
모두,All
같은,Same
여기서,here
어서,Come on
그는,He is
위해,for
해요,Do it
일이,work
하지,not
엄마,mom
바로,Right
근데,But
알고,know
이렇게,Like this
빨리,quickly
있습니다,There are
이거,This is
전에,before
어,uh
아뇨,No
계속,Continued
닥터,Doctor
얼마나,how many
될,be
알았어,Okay
않아,No
제발,please
겁니다,
어디,where
사람이,person
그가,He is
안녕,hello
좋아요,Likes
같아,Same as
우리는,we have
그래요,yes
당신을,you
자,character
그걸,that
두,two
아니에요,"No, "
있을,There are
때문에,Because
대해,About
아빠,dad
몇,few
사람,person
했어,did it
뭐야,What is it
수도,Capital
많이,A lot
집에,home
거지,beggar
일을,work
저는,I am
음,um
그렇지,That's right
함께,together
만약,If
하나,one
저기,Hey
고마워요,thank you
항상,always
나한테,to me
잠깐,Wait
가서,Go
가장,Most
돼요,It’s okay
가자,Let's go
맞아,That's right
보고,Report
와,and
그거,That's
말을,say
괜찮아요,It's okay
아무도,nobody
없는,without
안녕하세요,Hello
몰라,I don't know
일,day
많은,many
당신의,your
아무것도,nothing
그러니까,So
큰,big
알아요,I know
그의,his
뭐가,what is
고마워,thank you
그만,stop
했어요,I did it
젠장,Damn
사람들이,people
이걸,this
것도,Also
말이,words
이미,Already
야,Hey
그를,him
뭔가,something
온,On
이봐,Hey
아니면,Or
같아요,I think
그런데,But
아니라,not
세상에,oh my god
있고,There are
뭐라고,What
예,Yes
절대,Absolutely
당장,Right now
그래도,Still
대한,For
말은,The words are
거기,there
전부,in total
둘,two
그녀는,she is
니가,nigga
갈,gal
않아요,No
자기,baby
있죠,Yes
가지고,have
그들이,they are
참,true
너도,You too
됐어,Okay
미안해,sorry
여긴,This is
아무,Any
사람은,people
감사합니다,thank you
다들,Everyone
어때,How about
씨,Mr.
곧,soon
엄마가,mom
나를,me
이젠,Now
아마,Probably
그들은,They are
얘기,story
꼭,Definitely
있잖아,You know
저도,Me too
지금은,Now it's
그녀가,she
중,middle
있다,There are
시간,time
먼저,First
우릴,us
사람을,people
수가,Number
봐요,Look
있는데,There are
알았어요,Okay
해야,Must be
있었어,There were
우리의,our
않을,not
방금,Just
완전,Totally
동안,While
시간이,time is
싶어,want
본,Bonn
일은,day is
친구,friend
들어,For
안에,in
번,number
자네,you
사실,fact
한번,once
대체,Replaced
같은데,Looks like
생각해,think
맞아요,That's right
볼,ball
혼자,alone
자네가,You are
절,Verse
그러니,So
선생님,teacher
사람들은,people
문제가,Problem
다음,next
물론,Of course
거의,almost
일이야,It's work
없습니다,None
아빠가,Dad
되는,becoming
그러면,Then
순,Net
가는,Going
말도,Even
이리,Lee
있었어요,There was
맙소사,Oh my god
내일,tomorrow
있으면,If there is
잠깐만,Wait a minute
싫어,Hate
중요한,important
내게,to me
말해,tell me
이상,Over
아는,Knowing
너는,you are
새,bird
적,Enemy
전혀,at all
여자,woman
새로운,new
너희,you
왔어,came
아직도,still in
가지,Eggplant
나와,me and
알,Al
여기에,here
원하는,wanted
돈,money
필요,needed
도움이,helpful
그녀를,her in
몰라요,I don't know
작은,small
혹시,Maybe
미안해요,Sorry
나쁜,bad
죄송해요,Sorry
모르겠어,I don't know
가요,Gayo
알지,Algi
밖에,outside
직접,Directly
니,nice
해도,Sea chart
하죠,Let's do it
했는데,It was
필요해,I need it
아니요,No
적이,enemy
있나요,Is there
갖고,have
돈을,money
주세요,please
어디서,where
것이,It was
위한,for
것은,It was
없이,without
나중에,later
아버지,father
나랑,with me
됐어요,Okay
마세요,Don't do it
차,car
언제,When
그저,just
생각,Thought
했지,I did it
봤어,saw
시간을,time
마지막,Last
알겠어,Okay
왜냐면,Because
위해서,for
엄청,very
알겠습니다,Okay
오래,long
기다려,wait
아닙니다,No
있는지,Is there
알겠어요,Okay
제일,Best
지난,Last
그렇죠,That's right
죽은,dead
제대로,properly
아니지,"No, "
있다면,If there are
보면,"If you look, it's "
우리를,us
남자,man
너가,you are
누구,who
보여,show
왔어요,I'm here
너한테,to you
여러분,Everyone
완전히,Totally
너의,your
것이다,It will be
밤,night
소리,sound
벌써,Already
모르겠어요,I don't know
올,All
사람들을,people
처음,first
사람들,people
그녀의,her
멋진,awesome
왜요,Why
정말로,really
이름은,The name is
와서,come
대해서,about
여보,honey
조금,a little
이름이,name is
여보세요,Hello
서로,each other
안돼요,No
죽을,die
첫,first
매우,very
사랑해,I love you
오늘은,Today is
싶은,want
어디로,where
단지,Only
아닌,not
나가,go out
뿐이야,
미안,sorry
확실히,definitely
싶어요,I want
죄송합니다,sorry
때까지,Until
없고,No
어때요,How are you?
당연히,Of course
데리고,take
필요한,needed
없다,None
후,After
가고,Going
글쎄,Well
했죠,I did it
나의,my
별로,Not really
않은,not
라고,Say
집,house
여전히,still
딱,Just
이야기,Story
엄마는,Mom is
부인,wife
